Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9687186,"Lazzaro, vieni fuori",Andrea G. Pinketts,"Pinketts, Andrea G.",,"=""8807814412""","=""9788807814419""",3,Feltrinelli,Paperback,170,2002,1992,,2016/01/06,,,read,,,,1,0
7720086,Il senso della frase,Andrea G. Pinketts,"Pinketts, Andrea G.",,"=""880781336X""","=""9788807813368""",4,Feltrinelli,Paperback,248,1995,1995,,2016/01/06,,,read,,,,1,0
2185,The Dictionary of Accepted Ideas,Gustave Flaubert,"Flaubert, Gustave",Jaques Barzun,"=""081120054X""","=""9780811200547""",4,New Directions,Paperback,92,1968,1913,,2016/01/06,,,read,,,,1,0
8822819,Girl with Curious Hair,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",3,W. W. Norton & Company,Paperback,373,1996,1988,,2016/01/06,,,read,,,,1,0
6751,Consider the Lobster and Other Essays,David Foster Wallace,"Wallace, David Foster",,"=""0316156116""","=""9780316156110""",5,"Little, Brown and Company",Hardcover,343,2005,2005,,2016/01/06,,,read,,,,1,0
51504,Post Office,Charles Bukowski,"Bukowski, Charles",,"=""0876850867""","=""9780876850862""",4,Black Sparrow Press,Paperback,208,2002,1971,,2016/01/06,,,read,,,,1,0
38501,Ham on Rye,Charles Bukowski,"Bukowski, Charles",,"=""006117758X""","=""9780061177583""",3,Ecco,Paperback,288,2007,1982,,2016/01/06,,,read,,,,1,0
38503,Tales of Ordinary Madness,Charles Bukowski,"Bukowski, Charles",Gail Chiarrello,"=""0872861554""","=""9780872861558""",4,City Lights Publishers,Paperback,238,1984,1983,,2016/01/06,,,read,,,,1,0
141526,"Pulp: Charles Bukowski's Final Hardboiled Noir Comedy – Lady Death, Aliens, and the Absurd",Charles Bukowski,"Bukowski, Charles",,"=""0876859260""","=""9780876859261""",5,Ecco,Paperback,208,2002,1994,,2016/01/06,,,read,,,,1,0
38500,Women,Charles Bukowski,"Bukowski, Charles",,"=""0061177598""","=""9780061177590""",4,Ecco,Paperback,291,2007,1978,,2016/01/06,,,read,,,,1,0
22285,Rant: An Oral Biography of Buster Casey,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385517874""","=""9780385517874""",4,Doubleday,Hardcover,320,2007,2007,,2016/01/06,,,read,,,,1,0
5759,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393327345""","=""9780393327342""",4,W.W. Norton & Company (NYC),Paperback,218,2005,1996,,2016/01/06,,,read,,,,1,0
29059,Choke,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0385720920""","=""9780385720922""",4,Anchor Books,Paperback,293,2002,2001,,2016/01/06,,,read,,,,1,0
